scenario,component,metric,value
evening_peak_v2g,blockchain_validation,consensus_pct,100.0
evening_peak_v2g,edge_deployment,scenario,evening_peak_v2g
evening_peak_v2g,edge_deployment,wan_outage,False
evening_peak_v2g,edge_deployment,offline_decision_continuity_pct,100.0
evening_peak_v2g,edge_deployment,docker_image,aei-v2g:pi
event_surge,ev_traffic,spawned_evs,1278
event_surge,ev_traffic,charge_request_evs,1069
event_surge,ev_traffic,low_battery_evs,155
event_surge,ev_traffic,v2g_capable_on_entry,397
event_surge,ev_traffic,served_evs,734
event_surge,ev_traffic,served_ratio_pct,68.66
event_surge,rsu_awareness,feature_frames,18069
event_surge,rsu_awareness,unique_sensed_events,18069
event_surge,rsu_awareness,unique_sensed_evs,1069
event_surge,rsu_awareness,charge_request_evs_available,1069
event_surge,rsu_awareness,sensing_coverage_pct,100.0
event_surge,rsu_awareness,features_per_minute,12.548
event_surge,rsu_awareness,rsu_range_km,8.0
event_surge,lava_decision_engine,route_decisions,1069
event_surge,lava_decision_engine,v2g_decisions,1440
event_surge,lava_decision_engine,route_deferrals,10
event_surge,lava_decision_engine,avg_route_confidence,0.731
event_surge,lava_decision_engine,avg_v2g_confidence,0.877
event_surge,lava_decision_engine,latency_ms_avg,0.0187
event_surge,lava_decision_engine,latency_ms_p50,0.018
event_surge,lava_decision_engine,latency_ms_p95,0.024
event_surge,lava_decision_engine,latency_ms_max,0.365
event_surge,station_operations,total_energy_delivered_kwh,22802.784
event_surge,station_operations,total_v2g_supplied_kwh,2411.4
event_surge,grid_response,avg_grid_stress,0.8155
event_surge,grid_response,peak_grid_stress,1.0
event_surge,grid_response,stress_minutes_over_0_80,533
event_surge,grid_response,baseline_stress_minutes_over_0_80,1413
event_surge,grid_response,stress_event_reduction_pct,62.28
event_surge,grid_response,demand_prediction_accuracy_pct,99.79
event_surge,grid_response,avg_frequency_hz,49.9752
event_surge,v2g_settlement,invitations,15524
event_surge,v2g_settlement,acceptances,12061
event_surge,v2g_settlement,utilization_pct,77.69
event_surge,v2g_settlement,supplied_kwh,2411.4
event_surge,v2g_settlement,revenue,1527.14
event_surge,v2g_settlement,credits_awarded,4822
event_surge,v2g_settlement,credit_ledger_mode,on_chain
event_surge,v2g_settlement,credit_ledger_transactions,1
event_surge,v2g_settlement,credit_ledger_failures,0
event_surge,blockchain_validation,chain_file,event_surge_chain.jsonl
event_surge,blockchain_validation,records,2509
event_surge,blockchain_validation,valid_hash_chain,True
event_surge,blockchain_validation,last_block_hash,27905a3b2400e263034753dd426cf781dcace899d5bbd047a18f3e67c44da210
event_surge,blockchain_validation,consensus_pct,100.0
event_surge,edge_deployment,scenario,event_surge
event_surge,edge_deployment,wan_outage,False
event_surge,edge_deployment,offline_decision_continuity_pct,100.0
event_surge,edge_deployment,docker_image,aei-v2g:pi
rural_degraded_isac,ev_traffic,spawned_evs,688
rural_degraded_isac,ev_traffic,charge_request_evs,568
rural_degraded_isac,ev_traffic,low_battery_evs,81
rural_degraded_isac,ev_traffic,v2g_capable_on_entry,210
rural_degraded_isac,ev_traffic,served_evs,548
rural_degraded_isac,ev_traffic,served_ratio_pct,96.48
rural_degraded_isac,rsu_awareness,feature_frames,6932
rural_degraded_isac,rsu_awareness,unique_sensed_events,6932
rural_degraded_isac,rsu_awareness,unique_sensed_evs,568
rural_degraded_isac,rsu_awareness,charge_request_evs_available,568
rural_degraded_isac,rsu_awareness,sensing_coverage_pct,100.0
rural_degraded_isac,rsu_awareness,features_per_minute,4.814
