scenario,component,metric,value
rural_degraded_isac,blockchain_settlement,transaction_hash,0x5ee381e230376014f7018098f2e72504efeab590ea5c2ee9ecbbfbe73f5d4e89
rural_degraded_isac,blockchain_settlement,block_number,1237617
rural_degraded_isac,blockchain_settlement,status,success
rural_degraded_isac,blockchain_settlement,proof_type,scenario_settlement
rural_degraded_isac,blockchain_settlement,rpc_url,https://purechainnode.com:8547
rural_degraded_isac,blockchain_settlement,transaction_submission_latency_ms,11.774933
rural_degraded_isac,blockchain_settlement,transaction_confirmation_latency_ms,1839.009989
rural_degraded_isac,blockchain_settlement,transaction_total_latency_ms,1854.319112
rural_degraded_isac,blockchain_performance,settlement_mode,sync_settlement
rural_degraded_isac,blockchain_performance,dispatch_latency_without_blockchain_ms,0.024
rural_degraded_isac,blockchain_performance,dispatch_latency_with_async_blockchain_ms,0.024
rural_degraded_isac,blockchain_performance,blockchain_overhead_pct,0.0
rural_degraded_isac,blockchain_performance,note,Async settlement is reported separately from LAVA decision latency and is outside the critical dispatch path.
wan_outage_edge_only,ev_traffic,spawned_evs,724
wan_outage_edge_only,ev_traffic,charge_request_evs,596
wan_outage_edge_only,ev_traffic,low_battery_evs,76
wan_outage_edge_only,ev_traffic,v2g_capable_on_entry,227
wan_outage_edge_only,ev_traffic,served_evs,575
wan_outage_edge_only,ev_traffic,served_ratio_pct,96.48
wan_outage_edge_only,rsu_awareness,feature_frames,9504
wan_outage_edge_only,rsu_awareness,unique_sensed_events,9504
wan_outage_edge_only,rsu_awareness,unique_sensed_evs,596
wan_outage_edge_only,rsu_awareness,charge_request_evs_available,596
wan_outage_edge_only,rsu_awareness,sensing_coverage_pct,100.0
wan_outage_edge_only,rsu_awareness,features_per_minute,6.6
wan_outage_edge_only,rsu_awareness,rsu_range_km,7.5
wan_outage_edge_only,lava_decision_engine,route_decisions,596
wan_outage_edge_only,lava_decision_engine,v2g_decisions,1440
wan_outage_edge_only,lava_decision_engine,route_deferrals,25
wan_outage_edge_only,lava_decision_engine,avg_route_confidence,0.784
wan_outage_edge_only,lava_decision_engine,avg_v2g_confidence,0.876
wan_outage_edge_only,lava_decision_engine,latency_ms_avg,0.0169
wan_outage_edge_only,lava_decision_engine,latency_ms_p50,0.017
wan_outage_edge_only,lava_decision_engine,latency_ms_p95,0.024
wan_outage_edge_only,lava_decision_engine,latency_ms_max,0.182
wan_outage_edge_only,station_operations,total_energy_delivered_kwh,17678.704
wan_outage_edge_only,station_operations,total_v2g_supplied_kwh,1912.6
wan_outage_edge_only,grid_response,avg_grid_stress,0.8385
wan_outage_edge_only,grid_response,peak_grid_stress,1.0
wan_outage_edge_only,grid_response,stress_minutes_over_0_80,829
wan_outage_edge_only,grid_response,baseline_stress_minutes_over_0_80,1408
wan_outage_edge_only,grid_response,stress_event_reduction_pct,41.12
wan_outage_edge_only,grid_response,demand_prediction_accuracy_pct,97.91
wan_outage_edge_only,grid_response,avg_frequency_hz,49.9683
wan_outage_edge_only,v2g_settlement,invitations,12269
wan_outage_edge_only,v2g_settlement,acceptances,9563
wan_outage_edge_only,v2g_settlement,utilization_pct,77.94
wan_outage_edge_only,v2g_settlement,supplied_kwh,1912.6
wan_outage_edge_only,v2g_settlement,revenue,1214.73
wan_outage_edge_only,v2g_settlement,credits_awarded,3825
wan_outage_edge_only,v2g_settlement,credit_ledger_mode,on_chain
wan_outage_edge_only,v2g_settlement,credit_ledger_transactions,1
wan_outage_edge_only,v2g_settlement,credit_ledger_failures,0
wan_outage_edge_only,blockchain_validation,chain_file,wan_outage_edge_only_chain.jsonl
wan_outage_edge_only,blockchain_validation,records,2036
wan_outage_edge_only,blockchain_validation,valid_hash_chain,True
wan_outage_edge_only,blockchain_validation,last_block_hash,cb4b452b36d0bcae234b4cbf9673246b945eccdeaee0589bd263b2c31e680108
wan_outage_edge_only,blockchain_validation,consensus_pct,100.0
wan_outage_edge_only,edge_deployment,scenario,wan_outage_edge_only
wan_outage_edge_only,edge_deployment,wan_outage,True
wan_outage_edge_only,edge_deployment,offline_decision_continuity_pct,100.0
wan_outage_edge_only,edge_deployment,docker_image,aei-v2g:pi
wan_outage_edge_only,blockchain_settlement,contract_address,0x876a2e7d1EDC602A874B434a03dC66976c586bA3
wan_outage_edge_only,blockchain_settlement,chain_id,900520900520
wan_outage_edge_only,blockchain_settlement,transaction_hash,0xdce7e8c0fa6600895784451559c1e3200e1941a6e0a22ade259812b19e84acd8
wan_outage_edge_only,blockchain_settlement,block_number,1237623
wan_outage_edge_only,blockchain_settlement,status,success
wan_outage_edge_only,blockchain_settlement,proof_type,scenario_settlement
wan_outage_edge_only,blockchain_settlement,rpc_url,https://purechainnode.com:8547
wan_outage_edge_only,blockchain_settlement,transaction_submission_latency_ms,14.83001
wan_outage_edge_only,blockchain_settlement,transaction_confirmation_latency_ms,1730.596553
wan_outage_edge_only,blockchain_settlement,transaction_total_latency_ms,1748.919757
wan_outage_edge_only,blockchain_performance,settlement_mode,sync_settlement
wan_outage_edge_only,blockchain_performance,dispatch_latency_without_blockchain_ms,0.024
wan_outage_edge_only,blockchain_performance,dispatch_latency_with_async_blockchain_ms,0.024
wan_outage_edge_only,blockchain_performance,blockchain_overhead_pct,0.0
wan_outage_edge_only,blockchain_performance,note,Async settlement is reported separately from LAVA decision latency and is outside the critical dispatch path.
