scenario,settlement_mode,proof_type,warning,transaction_submission_latency_ms,transaction_confirmation_latency_ms,transaction_total_latency_ms,blockchain_throughput_tps,successful_transactions,failed_transactions,pending_transactions,settlement_success_rate_pct,dispatch_latency_without_blockchain_ms,dispatch_latency_with_async_blockchain_ms,blockchain_overhead_pct,tx_hash,block_number,receipt_status,contract_address,chain_id
weekday_nominal,sync_settlement,scenario_settlement,,12.994845,1839.209824,1856.247429,0.538721,1,0,0,100.0,0.024,0.024,0.0,0x8dbf173a0d16ac03b1711dcbf03f87214ffdb3d984883e4af4937e22b7ec7d11,1237598,success,0x876a2e7d1EDC602A874B434a03dC66976c586bA3,900520900520
evening_peak_v2g,sync_settlement,scenario_settlement,,14.028497,1169.752842,1187.430857,0.842154,1,0,0,100.0,0.024,0.024,0.0,0xa5c9c3c2271a9b468ab364185c620c0b564b4baef63a8ce13c2bb6059c1b83e7,1237604,success,0x876a2e7d1EDC602A874B434a03dC66976c586bA3,900520900520
event_surge,sync_settlement,scenario_settlement,,22.06844,1894.847591,1920.574333,0.520678,1,0,0,100.0,0.025,0.025,0.0,0xd8258eb843eead0bb84a1c1c715ed2bc5dbd94ade434a5edaa04c85eb0a57b88,1237610,success,0x876a2e7d1EDC602A874B434a03dC66976c586bA3,900520900520
rural_degraded_isac,sync_settlement,scenario_settlement,,11.774933,1839.009989,1854.319112,0.539282,1,0,0,100.0,0.024,0.024,0.0,0x5ee381e230376014f7018098f2e72504efeab590ea5c2ee9ecbbfbe73f5d4e89,1237617,success,0x876a2e7d1EDC602A874B434a03dC66976c586bA3,900520900520
wan_outage_edge_only,sync_settlement,scenario_settlement,,14.83001,1730.596553,1748.919757,0.571782,1,0,0,100.0,0.024,0.024,0.0,0xdce7e8c0fa6600895784451559c1e3200e1941a6e0a22ade259812b19e84acd8,1237623,success,0x876a2e7d1EDC602A874B434a03dC66976c586bA3,900520900520
