minute,active_evs,routed_now,lava_wait_min,baseline_wait_min,grid_stress,baseline_grid_stress,actual_kw,forecast_kw,v2g_kw,v2g_supplied_kwh,v2g_credits_awarded,credit_ledger_transactions
52,4,0,0.0,0.0,0.7673349620720291,0.9248349620720291,550.0,550.0,126.0,1.2,2,0
53,4,0,0.0,0.0,0.7673349620720291,0.9248349620720291,605.0,569.25,126.0,1.4,2,0
54,2,0,0.0,0.0,0.7673349620720291,0.9248349620720291,605.0,605.0,126.0,1.4,2,0
55,2,0,0.0,0.0,0.7678324677099706,0.9253324677099706,660.0,624.25,126.0,1.4,2,0
56,2,0,0.0,0.0,0.7453324677099706,0.9253324677099706,660.0,660.0,144.0,1.4,2,0
57,3,1,0.0,1.4055555555555554,0.7453324677099706,0.9253324677099706,660.0,660.0,144.0,1.4,2,0
58,6,2,0.0,1.4055555555555554,0.7678324677099706,0.9253324677099706,660.0,660.0,126.0,1.2,2,0
59,7,1,0.0,0.0,0.7903324677099706,0.9253324677099706,605.0,640.75,108.0,1.0,2,0
60,8,1,0.0,0.0,0.7691188953294938,0.9266188953294938,605.0,605.0,126.0,1.0,2,0
61,8,0,0.0,0.0,0.7691188953294938,0.9266188953294938,605.0,605.0,126.0,1.2,2,0
62,8,0,0.0,0.0,0.7516188953294938,0.9266188953294938,605.0,605.0,140.0,1.2,2,0
63,9,1,0.0,0.0,0.7466188953294939,0.9266188953294938,605.0,605.0,144.0,1.2,2,0
64,9,1,0.0,0.0,0.7466188953294939,0.9266188953294938,605.0,605.0,144.0,1.2,2,0
65,8,0,0.0,0.0,0.7421796142524761,0.9221796142524761,660.0,624.25,144.0,1.4,2,0
66,9,1,0.0,14.766666666666666,0.7421796142524761,0.9221796142524761,715.0,679.25,144.0,1.5999999999999999,3,0
67,9,0,0.0,0.0,0.7646796142524761,0.9221796142524761,715.0,715.0,126.0,1.2,2,0
68,11,1,0.0,1.4055555555555554,0.7646796142524761,0.9221796142524761,660.0,695.75,126.0,1.0,2,0
69,11,1,0.0,14.766666666666666,0.7646796142524761,0.9221796142524761,715.0,679.25,126.0,1.0,2,0
70,11,0,0.0,0.0,0.7889208839852717,0.9239208839852717,715.0,715.0,108.0,0.8,1,0
71,11,0,0.0,0.0,0.7889208839852717,0.9239208839852717,715.0,715.0,108.0,0.8,1,0
72,11,0,0.0,0.0,0.7913721339852717,0.9239208839852717,715.0,715.0,106.039,0.8,1,0
73,11,0,0.0,0.0,0.7913721339852717,0.9239208839852717,715.0,715.0,106.039,0.8,1,0
74,12,1,0.0,14.766666666666666,0.7913721339852717,0.9239208839852717,715.0,715.0,106.039,0.8,1,0
75,12,0,0.0,0.0,0.790876156400361,0.922504906400361,715.0,715.0,105.303,0.8,1,0
76,14,1,0.0,14.766666666666666,0.790876156400361,0.922504906400361,660.0,695.75,105.303,0.6000000000000001,1,0
77,14,0,0.0,0.0,0.790876156400361,0.922504906400361,660.0,660.0,105.303,0.6000000000000001,1,0
78,16,2,0.0,14.766666666666666,0.790876156400361,0.922504906400361,660.0,660.0,105.303,0.8,1,0
79,19,3,0.0,14.766666666666666,0.787504906400361,0.922504906400361,660.0,660.0,108.0,0.8,1,0
80,20,1,0.0,14.766666666666666,0.7838501534447129,0.9188501534447129,660.0,660.0,108.0,0.8,1,0
81,19,0,0.0,0.0,0.7388501534447129,0.9188501534447129,660.0,660.0,144.0,0.8,1,0
82,20,1,0.0,14.766666666666666,0.7388501534447129,0.9188501534447129,715.0,679.25,144.0,0.8,1,0
83,20,0,0.0,0.0,0.7188501534447129,0.9188501534447129,715.0,715.0,160.0,0.8,1,0
84,20,0,0.0,0.0,0.7188501534447129,0.9188501534447129,660.0,695.75,160.0,1.0,2,0
85,20,0,0.0,0.0,0.7168984005574033,0.9168984005574032,660.0,660.0,160.0,1.2,2,0
86,20,0,0.0,0.0,0.7168984005574033,0.9168984005574032,660.0,660.0,160.0,1.4,2,0
87,18,0,0.0,0.0,0.7168984005574033,0.9168984005574032,660.0,660.0,160.0,1.4,2,0
