minute,active_evs,routed_now,lava_wait_min,baseline_wait_min,grid_stress,baseline_grid_stress,actual_kw,forecast_kw,v2g_kw,v2g_supplied_kwh,v2g_credits_awarded,credit_ledger_transactions
1405,116,1,0.0,1.4055555555555554,0.7554933571623375,0.9354933571623374,605.0,605.0,144.0,1.4,2,0
1406,116,0,0.0,0.0,0.7779933571623374,0.9354933571623374,605.0,605.0,126.0,1.2,2,0
1407,116,0,0.0,0.0,0.7954221071623374,0.9354933571623374,550.0,585.75,112.057,1.2,2,0
1408,116,0,0.0,0.0,0.7954221071623374,0.9354933571623374,550.0,550.0,112.057,1.2,2,0
1409,116,0,0.0,0.0,0.7954221071623374,0.9354933571623374,550.0,550.0,112.057,1.2,2,0
1410,117,1,0.0,0.0,0.7946051576304574,0.9331589076304574,550.0,550.0,110.843,1.2,2,0
1411,117,0,0.0,0.0,0.7908864076304573,0.9331589076304574,495.0,530.75,105.318,1.0,2,0
1412,117,0,0.0,0.0,0.7875339076304573,0.9331589076304574,495.0,495.0,108.0,1.0,2,0
1413,118,1,0.0,0.0,0.7650339076304573,0.9331589076304574,495.0,495.0,126.0,1.0,2,0
1414,118,0,0.0,0.0,0.7650339076304573,0.9331589076304574,495.0,495.0,126.0,1.0,2,0
1415,118,0,0.0,0.0,0.7624889749440635,0.9306139749440636,495.0,495.0,126.0,1.0,2,0
1416,117,0,0.0,0.0,0.7449889749440635,0.9306139749440636,495.0,495.0,140.0,1.0,2,0
1417,117,0,0.0,0.0,0.7624889749440635,0.9306139749440636,495.0,495.0,126.0,1.0,2,0
1418,116,0,0.0,0.0,0.7281139749440636,0.9306139749440636,440.0,475.75,126.0,1.2,2,0
1419,116,0,0.0,0.0,0.7624889749440635,0.9306139749440636,495.0,459.25,126.0,1.4,2,0
1420,116,1,0.0,0.0,0.7598483680965273,0.9279733680965272,495.0,495.0,126.0,1.4,2,0
1421,117,1,0.0,0.0,0.7704733680965272,0.9279733680965272,550.0,514.25,126.0,1.4,2,0
1422,117,0,0.0,0.0,0.7704733680965272,0.9279733680965272,550.0,550.0,126.0,1.4,2,0
1423,117,0,0.0,0.0,0.7823483680965273,0.9279733680965272,495.0,530.75,108.0,1.2,2,0
1424,117,0,0.0,0.0,0.7823483680965273,0.9279733680965272,495.0,495.0,108.0,1.2,2,0
1425,116,0,0.0,0.0,0.768349401719161,0.925849401719161,440.0,475.75,90.0,1.0,2,0
1426,117,1,0.0,0.0,0.776296901719161,0.925849401719161,440.0,440.0,83.642,0.8,1,0
1427,116,0,0.0,0.0,0.776296901719161,0.925849401719161,440.0,440.0,83.642,0.8,1,0
1428,116,0,0.0,0.0,0.776296901719161,0.925849401719161,440.0,440.0,83.642,0.6000000000000001,1,0
1429,116,0,0.0,0.0,0.776296901719161,0.925849401719161,440.0,440.0,83.642,0.6000000000000001,1,0
1430,115,0,0.0,0.0,0.763448702187281,0.887452452187281,385.0,420.75,64.553,0.4,0,0
1431,114,0,0.0,0.0,0.775479952187281,0.923514952187281,440.0,404.25,82.428,0.4,0,0
1432,112,1,0.0,0.0,0.790389952187281,0.923514952187281,495.0,459.25,98.0,0.4,0,0
1433,114,2,0.0,0.0,0.8010149521872809,0.923514952187281,605.0,533.5,98.0,0.6000000000000001,1,0
1434,115,1,0.0,0.0,0.791229952187281,0.923514952187281,605.0,605.0,105.828,0.6000000000000001,1,0
1435,114,0,0.0,0.0,0.7903254998364302,0.9209317498364302,605.0,605.0,104.485,0.8,1,0
1436,114,0,0.0,0.0,0.7903254998364302,0.9209317498364302,605.0,605.0,104.485,0.8,1,0
1437,114,0,0.0,0.0,0.7903254998364302,0.9209317498364302,550.0,585.75,104.485,0.6000000000000001,1,0
1438,114,0,0.0,0.0,0.7903254998364302,0.9209317498364302,550.0,550.0,104.485,0.6000000000000001,1,0
1439,115,1,0.0,0.0,0.7866067498364301,0.9209317498364302,495.0,530.75,98.96,0.6000000000000001,1,0
